,ejemplo,adentro,asombro,alondra,asonbro,ejenplo,araccli,Total
Ceele_1,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125
Ceele_4,0.125,0.0,0.0,0.25,0.0,0.125,0.0,0.5
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125
Ceele_7,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
excale_3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2
excale_4,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.9583333333333333,0.65,0.5666666666666667,0.375,0.2,0.125,0.125,3.0000000000000004
