,acondicionado,acondisionado,acordisionado,Total
Ceele_1,0.058823529411764705,0.0,0.0,0.058823529411764705
Ceele_2,0.058823529411764705,0.0,0.0,0.058823529411764705
Ceele_3,0.0,0.058823529411764705,0.0,0.058823529411764705
Ceele_4,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.23529411764705882
Ceele_5,0.11764705882352941,0.11764705882352941,0.0,0.23529411764705882
Ceele_6,0.0,0.11764705882352941,0.0,0.11764705882352941
Ceele_7,0.11764705882352941,0.11764705882352941,0.0,0.23529411764705882
cuentos_1,0,0,0,0.0
cuentos_2,0,0,0,0.0
cuentos_3,0,0,0,0.0
cuentos_4,0,0,0,0.0
cuentos_5,0,0,0,0.0
cuentos_6,0,0,0,0.0
cuentos_7,0,0,0,0.0
excale_1,0,0,0,0.0
excale_2,0,0,0,0.0
excale_3,0,0,0,0.0
excale_4,0,0,0,0.0
excale_5,0,0,0,0.0
excale_6,0,0,0,0.0
excale_7,0,0,0,0.0
Total,0.47058823529411764,0.47058823529411764,0.058823529411764705,1.0
