,alejandro,alejandra,avalancha,alejondro,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
Ceele_3,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
Ceele_4,0.21052631578947367,0.0,0.0,0.05263157894736842,0.2631578947368421
Ceele_5,0.10526315789473684,0.15789473684210525,0.0,0.0,0.2631578947368421
Ceele_6,0.10526315789473684,0.05263157894736842,0.0,0.0,0.15789473684210525
Ceele_7,0.05263157894736842,0.15789473684210525,0.0,0.0,0.21052631578947367
cuentos_1,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0
cuentos_4,1.0,0.0,0.0,0.0,1.0
cuentos_5,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0
excale_4,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,1.0,0.0,1.0
excale_6,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0
Total,1.5789473684210527,0.3684210526315789,1.0,0.05263157894736842,3.0
