,abuelita,amayrani,aguacero,abuelito,amairani,inauguro,aguelita,aguasero,ahuelito,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.23076923076923078,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.38461538461538464
Ceele_4,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385
Ceele_5,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Ceele_6,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
Ceele_7,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.3076923076923077
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
excale_4,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666
excale_5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.717948717948718,0.23076923076923078,0.3333333333333333,0.15384615384615385,0.15384615384615385,1.0,0.16666666666666666,0.16666666666666666,0.07692307692307693,3.0
