,aun,ael,air,iel,aan,aam,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
Ceele_4,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
cuentos_2,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
cuentos_5,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
cuentos_6,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333
Total,1.4999999999999998,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.0
