,aire,ayre,aula,oano,aora,auge,oiga,aese,aoro,ayge,Total
Ceele_1,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
Ceele_2,0.05,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075
Ceele_3,0.075,0.025,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.125
Ceele_4,0.2,0.0,0.05,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.3
Ceele_5,0.05,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
Ceele_6,0.1,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.125
Ceele_7,0.125,0.05,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.225
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6
cuentos_4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.03468208092485549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03468208092485549
excale_2,0.1329479768786127,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13872832369942195
excale_3,0.17341040462427745,0.0,0.0,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.1791907514450867
excale_4,0.3063583815028902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3063583815028902
excale_5,0.1329479768786127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1329479768786127
excale_6,0.12138728323699421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12138728323699421
excale_7,0.08670520231213873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08670520231213873
Total,2.213439306358382,0.18078034682080923,0.05,0.05,0.05,0.2,0.2,0.005780346820809248,0.025,0.025,3.0
